,ID,author,content,poem name,age,type,ori_content,con,cluster_Mini,cluster_KMeans
305,343,EZRA POUND,santo iii appeared july issue poetry originally part scholars call urcantos version santo iii later edited pound become santo collected canton section eventually became santo highlight blue poem editors iii another halfcracked fellowjohn tendon worker miracles dealer hesitation thoughts upon pure form archery see pretty visions servant god secretary nature full plaintive charm like botticellis halftransparent forms lacking vigor gods thus tendon trance bulverton sight decked green sleeves yellow silk slit elbow slashed various purple eyes green glass foot leaflike adorned choicest emerald promised way holy wisdom pretty green bank began halflost poem take old way say met john tendon sought place lay bank plunged deep seven saw companylayamon chaucer pass appropriate robes conversed observed varying fashion comes tendon seen john tendon let us hear john tendon omniformis ones intellects estthus begins spouting half spells comes note assiduous commentator spells de daemonibus porphyrys chances thirteenth chapter every intellect uniform magnifico lorenzo used dodge says met firing wordsworthian falsepastoral manner walked along stopped welled heard deep platitudes contentment old lodger endless beard demon particular intellect substance differed intellect breaks firing placed latitude locus souls process take pick villa earth sounder rhetoric preparing praise pope nicholas man parts skilled subtle sciences patron arts poetry fine discernment comes catalogue jewels conversation read elegantiae dull bookshop church preface cut clear hard know roman speech sacrament spread nations bucharest wisdom bread liberal arts ha sir blancatz sordello would heart give princes villa heart rome sustaining speech set people new bonus christians ac bonus tullianus marius du belly wept buildings baldassar castiglione saw rachel lead back soul dead waste dwelling corpora laniato lorenzo villa broken middle life bent submission took fat living papa village burckhardts statement different roman city roman speech holds fast part among everliving eagles rome measured wherever roman speech rome wherever speech crept mastery spoke laws voice greek logician greeks one doughy divine humerus came sophistry justinopolitan uncatalogued andrews gives gave latin edition rest uncertain caught decadence word syllable ships went set mast sail black feel beasts bloody sacrifice weeping went give strained ear end opera end cracked wit delicate cannon rough meaning went ship set feel breakers forth godly sea set mast sail swarthy ship sheep bore aboard bodies also heavy weeping winds steward bore us onward belying canvas circles craft trimcoifed goddess sat amidships wind farming tiller thus stretched sail went sea till days end sun slumber shadows ocean came bounds deepest water kimmerian lands peopled cities covered closewebbed mist pierced ever glitter sundays stars stretched looking back heaven smartest night stretched wretched men thither ship unloaded sheep ocean flowing backward came place aforesaid circle rates perimedes eurylochus drawing sword hip dug ellsquare within poured ligation unto dead first mead sweet wine water mixed white flour prayed many prayer sickly deathsheads set ithaca sterile balls best sacrifice heaping pure goods sheep tiresias black bell sheep dark blood flowed fossa souls erebus cadaverous dead bridges youths many passing old virgin tender souls stained recent tears many men hauled bronze lanceheads battle spoil bearing yet dreary arms many crowded shouting pallor upon cried men beasts slaughtered herdssheep slain bronze poured ointment cried gods plato strong praised proserpine unsheathed narrow steel sat keep impetuous impotent dead till hear tiresias first emperor came friend emperor unburned cast wide earth limbs left house circle swept unwrapped sepulchre since toils urged pitiful spirited cried hurried speech emperor art thou come dark coast cast thou foot outstripping seamen heavy speech ill fate abundant wine slept circles single going long ladder unguarded fell mattress shattered napenerve soul sought avenue thou king bid remember swept unburned heap mine arms tomb seaboard inscribed man fortune name come set oar swung mid fellows came another ghost beat articles tiresias holding golden wand knew spoke first man ill hour come second time leaving sunlight facing unless dead joylessly region stand fossa move back leave bloody never speak true speeches stepped back breathing yellow sword dark blood drank spoke lustrous odysseus shalt return spiteful neptune dark seas lose companions foretold ways signs came articles answered fate drives deeps sought tiresias told news troy thrice shadow faded embrace news many faded women tyre aliment chloride heard tales dark fossa sailed silent thence outward away unto circle buried emperors corpse lie quiet gives official wechli paris three eight albus frog certain retains hymn decorum thin clear tuscans stuff gives way florid mellow phrase take goddess venus venerandam area corona habentem pulchram cyril munimenta sorting est maritime light foam breathed zephyrs attending hours mirthful orichalci golden girdles breast bands thou dark eyelids bearing golden bough argicida,Three Cantos,Modern,Mythology & Folklore,"Canto III appeared in the July, 1917 issue of Poetry. Originally part of what scholars call the ""Ur-Cantos,"" this version of Canto III was later edited by Pound to become Canto I of his collected Cantos. The section that eventually became Canto I is highlighted in blue in the poem below.
THE EDITORS


III

Another's a half-cracked fellowJohn Heydon,
Worker of miracles, dealer in levitation,
In thoughts upon pure form, in alchemy,
Seer of pretty visions (""servant of God and secretary of nature"");         
Full of plaintive charm, like Botticelli's,
With half-transparent forms, lacking the vigor of gods.
Thus Heydon, in a trance, at Bulverton,
Had such a sight:
Decked all in green, with sleeves of yellow silk
Slit to the elbow, slashed with various purples.
Her eyes were green as glass, her foot was leaf-like.
She was adorned with choicest emeralds,
And promised him the way of holy wisdom.
""Pretty green bank,"" began the half-lost poem.
Take the old way, say I met John Heydon,         
Sought out the place,
Lay on the bank, was ""plunged deep in swevyn;""
And saw the companyLayamon, Chaucer
Pass each in his appropriate robes;
Conversed with each, observed the varying fashion.
And then comes Heydon.
                                 ""I have seen John Heydon.""
Let us hear John Heydon!
                                 ""Omniformis
Omnis intellectus est""thus he begins, by spouting half of Psellus.
(Then comes a note, my assiduous commentator:
Not Psellus De Daemonibus, but Porphyry's Chances,
In the thirteenth chapter, that ""every intellect is omni-form."")
Magnifico Lorenzo used the dodge,
Says that he met Ficino
In some Wordsworthian, false-pastoral manner,
And that they walked along, stopped at a well-head,
And heard deep platitudes about contentment
From some old codger with an endless beard.
""A daemon is not a particular intellect,
But is a substance differed from intellect,""
Breaks in Ficino,
""Placed in the latitude or locus of souls""
That's out of Proclus, take your pick of them.
Valla, more earth and sounder rhetoric
Prefacing praise to his Pope Nicholas:
""A man of parts, skilled in the subtlest sciences;
A patron of the arts, of poetry; and of a fine discernment.""
Then comes a catalogue, his jewels of conversation.
No, you've not read your Elegantiae
A dull book?shook the church.
The prefaces, cut clear and hard:
""Know then the Roman speech, a sacrament,""
Spread for the nations, eucharist of wisdom,
Bread of the liberal arts.
                                 Ha! Sir Blancatz,
Sordello would have your heart to give to all the princes;
Valla, the heart of Rome,
Sustaining speech, set out before the people.
""Nec bonus Christianus ac bonus
                                 Tullianus.""
Marius, Du Bellay, wept for the buildings,
Baldassar Castiglione saw Raphael
""Lead back the soul into its dead, waste dwelling,""
Corpore laniato; and Lorenzo Valla,
""Broken in middle life? bent to submission?
Took a fat living from the Papacy""
(That's in Villari, but Burckhardt's statement is different)
""More than the Roman city, the Roman speech""
(Holds fast its part among the ever-living).
""Not by the eagles only was Rome measured.""
""Wherever the Roman speech was, there was Rome,""
Wherever the speech crept, there was mastery
Spoke with the law's voice while your Greek, logicians...
More Greeks than one! Doughty's ""divine Homeros""
Came before sophistry. Justinopolitan
Uncatalogued Andreas Divus,
Gave him in Latin, 1538 in my edition, the rest uncertain,
Caught up his cadence, word and syllable:
""Down to the ships we went, set mast and sail,
Black keel and beasts for bloody sacrifice,
Weeping we went.""
I've strained my ear for -ensa, -ombra, and -ensa
And cracked my wit on delicate canzoni
                   Here's but rough meaning:

""And then went down to the ship, set keel to breakers,
Forth on the godly sea;
We set up mast and sail on the swarthy ship,
Sheep bore we aboard her, and our bodies also
Heavy with weeping. And winds from sternward
Bore us out onward with bellying canvas
Circe's this craft, the trim-coifed goddess.
Then sat we amidships, wind jamming the tiller.
Thus with stretched sail
                   We went over sea till day's end:
Sun to his slumber, shadows o'er all the ocean.
Came we then to the bounds of deepest water,
To the Kimmerian lands and peopled cities
Covered with close-webbed mist, unpierced ever
With glitter of sun-rays,
Nor with stars stretched, nor looking back from heaven,
Swartest night stretched over wretched men there.
Thither we in that ship, unladed sheep there,
The ocean flowing backward, came we through to the place
Aforesaid by Circe.
Here did they rites, Perimedes and Eurylochus,
And drawing sword from my hip
I dug the ell-square pitkin, poured we libations unto each the dead,            
First mead and then sweet wine,
Water mixed with white flour.
Then prayed I many a prayer to the sickly death's-heads
As set in Ithaca, sterile bulls of the best,
For sacrifice, heaping the pyre with goods.
Sheep, to Tiresias only,
Black, and a bell sheep;
Dark blood flowed in the fosse.
Souls out of Erebus, cadaverous dead
Of brides, of youths, and of many passing old,
Virgins tender, souls stained with recent tears,
Many men mauled with bronze lance-heads,
Battle spoil, bearing yet dreary arms:
These many crowded about me,
With shouting, pallor upon me, cried to my men for more beasts;
Slaughtered the herdssheep slain of bronze,
Poured ointment, cried to the gods,
To Pluto the strong, and praised Proserpine.
Unsheathed the narrow steel,
I sat to keep off the impetuous, impotent dead
Till I should hear Tiresias.
But first Elpenor came, our friend Elpenor,
Unburied, cast on the wide earth
Limbs that we left in the house of Circe,
Unwept, unwrapped in sepulchre, since toils urged other,
Pitiful spiritand I cried in hurried speech:
'Elpenor, how art thou come to this dark coast?
Cam'st thou afoot, outstripping seamen?' And he in heavy speech:
'Ill fate and abundant wine! I slept in Circe's ingle,
Going down the long ladder unguarded, I fell against the buttress,
Shattered the nape-nerve, the soul sought Avernus.
But thou, O King, I bid remember me, unwept, unburied!
Heap up mine arms, be tomb by the sea-board, and inscribed,
A man of no fortune and with a name to come;
And set my oar up, that I swung 'mid fellows.'
Came then another ghost, whom I beat off, Anticlea,
And then Tiresias, Theban,
Holding his golden wand, knew me and spoke first:
'Man of ill hour, why come a second time,
Leaving the sunlight, facing the sunless dead and this joyless region?
Stand from the fosse, move back, leave me my bloody bever,
And I will speak you true speeches.'
                                                       ""And I stepped back,
Sheathing the yellow sword. Dark blood he drank then
And spoke: 'Lustrous Odysseus, shalt
Return through spiteful Neptune, over dark seas,
Lose all companions.' Foretold me the ways and the signs.
Came then Anticlea, to whom I answered:
'Fate drives me on through these deeps; I sought Tiresias.'
I told her news of Troy, and thrice her shadow
Faded in my embrace.
Then had I news of many faded women
Tyro, Alcmena, Chloris
Heard out their tales by that dark fosse, and sailed
By sirens and thence outward and away,
And unto Circe buried Elpenor's corpse.""

Lie quiet, Divus.
                                 In Officina Wechli, Paris,
M. D. three X's, Eight, with Aldus on the Frogs,
And a certain Cretan's         
                                 Hymni Deorum:
(The thin clear Tuscan stuff
                      Gives way before the florid mellow phrase.)
Take we the Goddess, Venus:
                                                       Venerandam,
Aurean coronam habentem, pulchram,
Cypri munimenta sortita est, maritime,
Light on the foam, breathed on by zephyrs,
And air-tending hours. Mirthful, orichalci, with golden
Girdles and breast bands.
                                       Thou with dark eye-lids,         
Bearing the golden bough of Argicida.",santo iii appeared july issue poetry originally part scholar call urcantos version santo iii later edited pound become santo collected canton section eventually became santo highlight blue poem editor iii another halfcracked fellowjohn tendon worker miracle dealer hesitation thought upon pure form archery see pretty vision servant god secretary nature full plaintive charm like botticelli halftransparent form lacking vigor god thus tendon trance bulverton sight decked green sleeve yellow silk slit elbow slashed various purple eye green glass foot leaflike adorned choicest emerald promised way holy wisdom pretty green bank began halflost poem take old way say met john tendon sought place lay bank plunged deep seven saw companylayamon chaucer pas appropriate robe conversed observed varying fashion come tendon seen john tendon let u hear john tendon omniformis one intellect estthus begin spouting half spell come note assiduous commentator spell de daemonibus porphyry chance thirteenth chapter every intellect uniform magnifico lorenzo used dodge say met firing wordsworthian falsepastoral manner walked along stopped welled heard deep platitude contentment old lodger endless beard demon particular intellect substance differed intellect break firing placed latitude locus soul process take pick villa earth sounder rhetoric preparing praise pope nicholas man part skilled subtle science patron art poetry fine discernment come catalogue jewel conversation read elegantiae dull bookshop church preface cut clear hard know roman speech sacrament spread nation bucharest wisdom bread liberal art ha sir blancatz sordello would heart give prince villa heart rome sustaining speech set people new bonus christian ac bonus tullianus marius du belly wept building baldassar castiglione saw rachel lead back soul dead waste dwelling corpus laniato lorenzo villa broken middle life bent submission took fat living papa village burckhardts statement different roman city roman speech hold fast part among everliving eagle rome measured wherever roman speech rome wherever speech crept mastery spoke law voice greek logician greek one doughy divine humerus came sophistry justinopolitan uncatalogued andrew give gave latin edition rest uncertain caught decadence word syllable ship went set mast sail black feel beast bloody sacrifice weeping went give strained ear end opera end cracked wit delicate cannon rough meaning went ship set feel breaker forth godly sea set mast sail swarthy ship sheep bore aboard body also heavy weeping wind steward bore u onward belying canvas circle craft trimcoifed goddess sat amidships wind farming tiller thus stretched sail went sea till day end sun slumber shadow ocean came bound deepest water kimmerian land peopled city covered closewebbed mist pierced ever glitter sunday star stretched looking back heaven smartest night stretched wretched men thither ship unloaded sheep ocean flowing backward came place aforesaid circle rate perimedes eurylochus drawing sword hip dug ellsquare within poured ligation unto dead first mead sweet wine water mixed white flour prayed many prayer sickly deathsheads set ithaca sterile ball best sacrifice heaping pure good sheep tiresias black bell sheep dark blood flowed fossa soul erebus cadaverous dead bridge youth many passing old virgin tender soul stained recent tear many men hauled bronze lanceheads battle spoil bearing yet dreary arm many crowded shouting pallor upon cried men beast slaughtered herdssheep slain bronze poured ointment cried god plato strong praised proserpine unsheathed narrow steel sat keep impetuous impotent dead till hear tiresias first emperor came friend emperor unburned cast wide earth limb left house circle swept unwrapped sepulchre since toil urged pitiful spirited cried hurried speech emperor art thou come dark coast cast thou foot outstripping seaman heavy speech ill fate abundant wine slept circle single going long ladder unguarded fell mattress shattered napenerve soul sought avenue thou king bid remember swept unburned heap mine arm tomb seaboard inscribed man fortune name come set oar swung mid fellow came another ghost beat article tiresias holding golden wand knew spoke first man ill hour come second time leaving sunlight facing unless dead joylessly region stand fossa move back leave bloody never speak true speech stepped back breathing yellow sword dark blood drank spoke lustrous odysseus shalt return spiteful neptune dark sea lose companion foretold way sign came article answered fate drive deep sought tiresias told news troy thrice shadow faded embrace news many faded woman tyre aliment chloride heard tale dark fossa sailed silent thence outward away unto circle buried emperor corpse lie quiet give official wechli paris three eight albus frog certain retains hymn decorum thin clear tuscan stuff give way florid mellow phrase take goddess venus venerandam area corona habentem pulchram cyril munimenta sorting est maritime light foam breathed zephyr attending hour mirthful orichalci golden girdle breast band thou dark eyelid bearing golden bough argicida,87,15
315,361,WILLIAM BUTLER YEATS,although hide ebb flow pale tide moon set people coming days know casting net leaped times mind little silver cords think hard unkind blame many bitter words,The Fish,Modern,Nature,"Although you hide in the ebb and flow
Of the pale tide when the moon has set,
The people of coming days will know
About the casting out of my net,
And how you have leaped times out of mind
Over the little silver cords,
And think that you were hard and unkind,
And blame you with many bitter words.",although hide ebb flow pale tide moon set people coming day know casting net leaped time mind little silver cord think hard unkind blame many bitter word,87,15
348,399,GEORGE SANTAYANA,low sandy beach thin scrub pine wide reach bay long sky line sick home salt salt smell thick sea air smooth round stones ebbtides wear good ship come wretched stumps charred burned deep soft rut cartwheel turned world old tapping wave broad gray sky cawing crows slow gully fly dead untold thin plant willows flooded bog huge strange bulk floating log sorrow life began among dark lines along flat shore wind wind evermore become man,Cape Cod,Modern,Nature,"The low sandy beach and the thin scrub pine,
The wide reach of bay and the long sky line,
O, I am sick for home!

The salt, salt smell of the thick sea air,
And the smooth round stones that the ebbtides wear,
When will the good ship come?

The wretched stumps all charred and burned,
And the deep soft rut where the cartwheel turned,
Why is the world so old?

The lapping wave, and the broad gray sky
Where the cawing crows and the slow gulls fly,
Where are the dead untold?

The thin, slant willows by the flooded bog,
The huge stranded hulk and the floating log,
Sorrow with life began!

And among the dark pines, and along the flat shore,
O the wind, and the wind, for evermore!
What will become of man?",low sandy beach thin scrub pine wide reach bay long sky line sick home salt salt smell thick sea air smooth round stone ebbtide wear good ship come wretched stump charred burned deep soft rut cartwheel turned world old tapping wave broad gray sky cawing crow slow gully fly dead untold thin plant willow flooded bog huge strange bulk floating log sorrow life began among dark line along flat shore wind wind evermore become man,87,15
390,446,CARL SANDBURG,fog comes little cat feet sits looking harbor city silent haunches moves,Fog,Modern,Nature,"The fog comes
on little cat feet.

It sits looking
over harbor and city
on silent haunches
and then moves on.",fog come little cat foot sits looking harbor city silent haunch move,87,15
394,451,E. E. CUMMINGS,spring world mud lustrous little lame balloonman whistles far wee eddieandbill come running marble piracies spring world puddlewonderful queer old balloonman whistles far wee bettyandisbel come dancing hopscotch jumprope spring goatfooted balloonman whistles far wee,[in Just-],Modern,Nature,"in Just-
spring          when the world is mud-
luscious the little
lame balloonman

whistles          far          and wee

and eddieandbill come
running from marbles and
piracies and it's
spring

when the world is puddle-wonderful

the queer
old balloonman whistles
far          and             wee
and bettyandisbel come dancing

from hop-scotch and jump-rope and

it's
spring
and

         the

                  goat-footed

balloonMan          whistles
far
and
wee",spring world mud lustrous little lame balloonman whistle far wee eddieandbill come running marble piracy spring world puddlewonderful queer old balloonman whistle far wee bettyandisbel come dancing hopscotch jumprope spring goatfooted balloonman whistle far wee,87,15
413,471,PAUL LAURENCE DUNBAR,air agitation cool collar frost coming de night thick nuts wants fallen dorsum keeping sight turkey struttin de band mary step proud e keep struttin mist turkey know time cigar press commence squeaking eating apples stood away chill swain round law honest hunting aims wrung de hay mist turkey keep gobelin de geese ilyin soul lymph dat bird know huts coming pushkin within good allah open eyes seems law looking yes day saying pies turkey gobble wine round blowing wine round gibbon pass slack keep talking mist turkey aunt seed almanac farmer walking de band seen things coming sees de fowls attain good times coming show years dat turkey gobble bragging den face break smile nebbah min say rascal wine cab chopping set de kitchen stone raisins de hall beef cooking ff de since meat spaces ground smell em look yeah turkey stop dat gobelin lined de sense fear fool nails danger know thanksgibbins yeah,Signs of the Times,Modern,Nature,"Air a-gittin' cool an' coolah,
   Frost a-comin' in de night,
Hicka' nuts an' wa'nuts fallin',
   Possum keepin' out o' sight.
Tu'key struttin' in de ba'nya'd,
   Nary step so proud ez his;
Keep on struttin', Mistah Tu'key,
   Yo' do' know whut time it is.

Cidah press commence a-squeakin'
   Eatin' apples sto'ed away,
Chillun swa'min' 'roun' lak ho'nets,
   Huntin' aigs ermung de hay.
Mistah Tu'key keep on gobblin'
   At de geese a-flyin' souf,
Oomph! dat bird do' know whut's comin';
   Ef he did he'd shet his mouf.

Pumpkin gittin' good an' yallah
   Mek me open up my eyes;
Seems lak it's a-lookin' at me
   Jes' a-la'in' dah sayin' ""Pies.""
Tu'key gobbler gwine 'roun' blowin',
   Gwine 'roun' gibbin' sass an' slack;
Keep on talkin', Mistah Tu'key,
   You ain't seed no almanac.

Fa'mer walkin' th'oo de ba'nya'd
   Seein' how things is comin' on,
Sees ef all de fowls is fatt'nin'
   Good times comin' sho's you bo'n.
Hyeahs dat tu'key gobbler braggin',
   Den his face break in a smile
Nebbah min', you sassy rascal,
   He's gwine nab you atter while.

Choppin' suet in de kitchen,
   Stonin' raisins in de hall,
Beef a-cookin' fu' de mince meat,
   Spices groun'I smell 'em all.
Look hyeah, Tu'key, stop dat gobblin',
   You ain' luned de sense ob feah,
You ol' fool, yo' naik's in dangah,
   Do' you know Thanksgibbin's hyeah?",air agitation cool collar frost coming de night thick nut want fallen dorsum keeping sight turkey struttin de band mary step proud e keep struttin mist turkey know time cigar press commence squeaking eating apple stood away chill swain round law honest hunting aim wrung de hay mist turkey keep gobelin de goose ilyin soul lymph dat bird know hut coming pushkin within good allah open eye seems law looking yes day saying pie turkey gobble wine round blowing wine round gibbon pas slack keep talking mist turkey aunt seed almanac farmer walking de band seen thing coming see de fowl attain good time coming show year dat turkey gobble bragging den face break smile nebbah min say rascal wine cab chopping set de kitchen stone raisin de hall beef cooking ff de since meat space ground smell em look yeah turkey stop dat gobelin lined de sense fear fool nail danger know thanksgibbins yeah,87,15
431,495,WILLIAM BUTLER YEATS,lying cold dead lights paying west would come hither bend head would lay head breast would murmur tender words forgiving dead would rise hasten away though wild birds know hair bound wound stars moon sun would beloved lay dockleaves ground lights paying one one,He wishes his Beloved were Dead,Modern,Love,"Were you but lying cold and dead,
And lights were paling out of the West,
You would come hither, and bend your head,
And I would lay my head on your breast;
And you would murmur tender words,
Forgiving me, because you were dead:
Nor would you rise and hasten away,
Though you have the will of wild birds,
But know your hair was bound and wound
About the stars and moon and sun:
O would, beloved, that you lay
Under the dock-leaves in the ground,
While lights were paling one by one.",lying cold dead light paying west would come hither bend head would lay head breast would murmur tender word forgiving dead would rise hasten away though wild bird know hair bound wound star moon sun would beloved lay dockleaves ground light paying one one,87,15
460,525,WALLACE STEVENS,dweller dark cabin watermelon always purple whose garden wind moon two dreams night day lover dreamer would choose one obscured sleep planting door best cock red feather crew clocks fee may come leafgreen whose coming may give level beyond reveries sleep yes blackbird spread tail sun may speckled creaks hail dweller dark cabin rise since rising waken hail cry hail cry hail,Hymn from a Watermelon Pavilion,Modern,Love,"You dweller in the dark cabin,
To whom the watermelon is always purple,   
Whose garden is wind and moon,

Of the two dreams, night and day,
What lover, what dreamer, would choose   
The one obscured by sleep?

Here is the plantain by your door   
And the best cock of red feather   
That crew before the clocks.

A feme may come, leaf-green,   
Whose coming may give revel   
Beyond revelries of sleep,

Yes, and the blackbird spread its tail,   
So that the sun may speckle,   
While it creaks hail.

You dweller in the dark cabin,   
Rise, since rising will not waken,   
And hail, cry hail, cry hail.",dweller dark cabin watermelon always purple whose garden wind moon two dream night day lover dreamer would choose one obscured sleep planting door best cock red feather crew clock fee may come leafgreen whose coming may give level beyond revery sleep yes blackbird spread tail sun may speckled creak hail dweller dark cabin rise since rising waken hail cry hail cry hail,87,15
462,527,PAUL LAURENCE DUNBAR,come nights bright stars come moon mellow come sun golden bars drops hayfield yellow come twilight soft gray come night come day come love whenever may welcome welcome sweet love dear love soft resting dove come heart bring rest bird flies home welcome nest come heart full grief heart merry come falling leaf reddening cherry come years first blossom blows come summer gleam grows come winters drifting snows welcome welcome,Invitation to Love,Modern,Love,"Come when the nights are bright with stars
Or come when the moon is mellow;
Come when the sun his golden bars
Drops on the hay-field yellow.
Come in the twilight soft and gray,
Come in the night or come in the day,
Come, O love, wheneer you may,
And you are welcome, welcome.

You are sweet, O Love, dear Love,
You are soft as the nesting dove.
Come to my heart and bring it to rest
As the bird flies home to its welcome nest.

Come when my heart is full of grief
Or when my heart is merry;
Come with the falling of the leaf
Or with the reddning cherry.
Come when the years first blossom blows,
Come when the summer gleams and glows,
Come with the winters drifting snows,
And you are welcome, welcome.",come night bright star come moon mellow come sun golden bar drop hayfield yellow come twilight soft gray come night come day come love whenever may welcome welcome sweet love dear love soft resting dove come heart bring rest bird fly home welcome nest come heart full grief heart merry come falling leaf reddening cherry come year first blossom blow come summer gleam grows come winter drifting snow welcome welcome,87,15
482,547,SARA TEASDALE,supper comes five clock six evening star lover comes eight clock eight clock far could bear pain day unless watched see clockhands laboring bring eight clock,Eight O'Clock,Modern,Love,"Supper comes at five o'clock,
At six, the evening star,
My lover comes at eight o'clock
But eight o'clock is far.

How could I bear my pain all day
Unless I watched to see
The clock-hands laboring to bring
Eight o'clock to me.",supper come five clock six evening star lover come eight clock eight clock far could bear pain day unless watched see clockhands laboring bring eight clock,87,15
