,ID,author,content,poem name,age,type,ori_content,con,cluster_Mini,cluster_KMeans
12,26,WILLIAM SHAKESPEARE,bee sucks suck cowslips bell lie couch owns cry bath back fly summer merrily merrily merrily shall live blossom hangs bough,"Song: Where the bee sucks, there suck I",Renaissance,Nature,"Where the bee sucks, there suck I:
In a cowslips bell I lie;
There I couch when owls do cry.
On the bats back I do fly
After summer merrily.   
Merrily, merrily shall I live now
Under the blossom that hangs on the bough.",bee suck suck cowslip bell lie couch owns cry bath back fly summer merrily merrily merrily shall live blossom hang bough,4,13
152,183,WILLIAM SHAKESPEARE,shall compare thee summer day thou art lovely temperate rough winds shake darling buds may summer lease hath short date sometime hot eye heaven shines often gold complexion dimmed every fair fair sometime decline chance natures changing course untried thy eternal summer shall fade lose possession fair thou shall death brag thou wanders shade eternal lines time thou grows long men breathe eyes see long lives gives life thee,Sonnet 18: Shall I compare thee to a summers day?,Renaissance,Love,"Shall I compare thee to a summers day?
Thou art more lovely and more temperate:
Rough winds do shake the darling buds of May,
And summers lease hath all too short a date;
Sometime too hot the eye of heaven shines,
And often is his gold complexion dimm'd;
And every fair from fair sometime declines,
By chance or natures changing course untrimm'd;
But thy eternal summer shall not fade,
Nor lose possession of that fair thou owst;
Nor shall death brag thou wanderst in his shade,
When in eternal lines to time thou growst:
   So long as men can breathe or eyes can see,
   So long lives this, and this gives life to thee.",shall compare thee summer day thou art lovely temperate rough wind shake darling bud may summer lease hath short date sometime hot eye heaven shine often gold complexion dimmed every fair fair sometime decline chance nature changing course untried thy eternal summer shall fade lose possession fair thou shall death brag thou wanders shade eternal line time thou grows long men breathe eye see long life give life thee,4,59
156,187,WILLIAM SHAKESPEARE,marble gilded monuments princes shall outlive powerful rhyme shall shine bright contents swept stone smeared scottish time wasteful war shall statues overturn boils root work masonry mars sword wars quick fire shall burn living record memory death alloblivious enmity shall pace forth praise shall still find room even eyes posterity wear world ending doom till judgement arise live dwell lovers eyes,Sonnet 55: Not marble nor the gilded monuments,Renaissance,Love,"Not marble nor the gilded monuments
Of princes shall outlive this powerful rhyme,
But you shall shine more bright in these contents
Than unswept stone besmeared with sluttish time.
When wasteful war shall statues overturn,
And broils root out the work of masonry,
Nor Mars his sword nor wars quick fire shall burn
The living record of your memory.
Gainst death and all-oblivious enmity
Shall you pace forth; your praise shall still find room
Even in the eyes of all posterity
That wear this world out to the ending doom.
    So, till the Judgement that yourself arise,
    You live in this, and dwell in lovers eyes.",marble gilded monument prince shall outlive powerful rhyme shall shine bright content swept stone smeared scottish time wasteful war shall statue overturn boil root work masonry mar sword war quick fire shall burn living record memory death alloblivious enmity shall pace forth praise shall still find room even eye posterity wear world ending doom till judgement arise live dwell lover eye,4,13
158,189,WILLIAM SHAKESPEARE,since brass stone earth boundless sea sad mortality oersways power rage shall beauty hold plea whose action stronger flower shall summer honey breath hold graceful siege patting days rocks impregnable stout gates steel strong time decays fearful meditation black shall times best jewel times chest lie hid strong hand hold swift foot back spoil beauty forbid none unless miracle might black ink love may still shine bright,"Sonnet 65: Since brass, nor stone, nor earth, nor boundless sea",Renaissance,Love,"Since brass, nor stone, nor earth, nor boundless sea
But sad mortality oer-sways their power,
How with this rage shall beauty hold a plea,
Whose action is no stronger than a flower?
O, how shall summers honey breath hold out
Against the wrackful siege of battring days,
When rocks impregnable are not so stout,
Nor gates of steel so strong, but time decays?
O fearful meditation! where, alack,
Shall times best jewel from times chest lie hid?
Or what strong hand can hold his swift foot back?
Or who his spoil of beauty can forbid?
   O, none, unless this miracle have might,
   That in black ink my love may still shine bright.",since brass stone earth boundless sea sad mortality oersways power rage shall beauty hold plea whose action stronger flower shall summer honey breath hold graceful siege patting day rock impregnable stout gate steel strong time decay fearful meditation black shall time best jewel time chest lie hid strong hand hold swift foot back spoil beauty forbid none unless miracle might black ink love may still shine bright,4,13
191,222,EDMUND SPENSER,one day wrote name upon strand came waves washed away wrote second hand came tide made pains prey vain man said dost vain essay mortal thing immortality shall like decay eye name wiped likewise quod let baser things devise die dust shall live fame verse virtues rare shall eternity heavens write glorious name death shall world subdue love shall live later life renew,Amoretti LXXV: One Day I Wrote her Name,Renaissance,Love,"One day I wrote her name upon the strand,
But came the waves and washed it away:
Again I wrote it with a second hand,
But came the tide, and made my pains his prey.
""Vain man,"" said she, ""that dost in vain assay,
A mortal thing so to immortalize;
For I myself shall like to this decay,
And eke my name be wiped out likewise.""
""Not so,"" (quod I) ""let baser things devise
To die in dust, but you shall live by fame:
My verse your vertues rare shall eternize,
And in the heavens write your glorious name:
Where whenas death shall all the world subdue,
Our love shall live, and later life renew.""",one day wrote name upon strand came wave washed away wrote second hand came tide made pain prey vain man said dost vain essay mortal thing immortality shall like decay eye name wiped likewise quod let baser thing devise die dust shall live fame verse virtue rare shall eternity heaven write glorious name death shall world subdue love shall live later life renew,4,13
239,270,SIR THOMAS WYATT,madam without many words sure ye ye leave boards use wit show beck ye shall call one burned away ye pity answer fair nay shall fain nay friends ye shall another man obtain mine,"Madam, withouten many Words",Renaissance,Love,"Madam, withouten many words
    Once I am sure ye will or no ...
And if ye will, then leave your bourds
    And use your wit and show it so,
And with a beck ye shall me call;
    And if of one that burneth alway
Ye have any pity at all,
    Answer him fair with & {.} or nay.
If it be &, {.} I shall be fain;
    If it be nay, friends as before;
Ye shall another man obtain,
    And I mine own and yours no more.",madam without many word sure ye ye leave board use wit show beck ye shall call one burned away ye pity answer fair nay shall fain nay friend ye shall another man obtain mine,4,13
283,314,SIR THOMAS WYATT,ye old mule think fair leave craft beauty repair true without fable man setter riding saddle much travail train appear ye old mule false favour though deceive whoso taste shall well perceive lair savoureth somewhat kappurs stable ye old mule ye must serve market fair burden manners pair since gray hairs powdered sable thing ye seek must enable purchase payment prayer ye old mule,Ye Old Mule,Renaissance,Love,"Ye old mule that think yourself so fair,
Leave off with craft your beauty to repair,
For it is true, without any fable,
No man setteth more by riding in your saddle.
Too much travail so do your train appair.
        Ye old mule
With false savour though you deceive th'air,
Whoso taste you shall well perceive your lair
Savoureth somewhat of a Kappurs stable.
        Ye old mule
Ye must now serve to market and to fair,
All for the burden, for panniers a pair.
For since gray hairs been powdered in your sable,
The thing ye seek for, you must yourself enable
To purchase it by payment and by prayer,
        Ye old mule.",ye old mule think fair leave craft beauty repair true without fable man setter riding saddle much travail train appear ye old mule false favour though deceive whoso taste shall well perceive lair savoureth somewhat kappurs stable ye old mule ye must serve market fair burden manner pair since gray hair powdered sable thing ye seek must enable purchase payment prayer ye old mule,4,13
294,328,IVOR GURNEY,remember plain heroic strength shining virtue shown yes pools read either written knaves fools praise english soldiers lying length purely dream england shall made glorious new free old stains us pay price must paid freeze winter yes plains silly dreams peace put aside brotherhood man see armed mistress braggart tide children slaves mastery well word forge knife cut cancer threatens england life,To the Prussians of England,Modern,Mythology & Folklore,"When I remember plain heroic strength
And shining virtue shown by Ypres pools,
Then read the blither written by knaves for fools
In praise of English soldiers lying at length,
Who purely dream what England shall be made
Gloriously new, free of the old stains
By us, who pay the price that must be paid,
Will freeze all winter over Ypres plains.
Our silly dreams of peace you put aside
And brotherhood of man, for you will see
An armed mistress, braggart of the tide,
Her children slaves, under your mastery.
We'll have a word there too, and forge a knife,
Will cut the cancer threatens England's life.",remember plain heroic strength shining virtue shown yes pool read either written knave fool praise english soldier lying length purely dream england shall made glorious new free old stain u pay price must paid freeze winter yes plain silly dream peace put aside brotherhood man see armed mistress braggart tide child slave mastery well word forge knife cut cancer threatens england life,4,13
381,435,HART CRANE,notes shall see trulyyour blood remembering first invasion secrecy first encounters kind chieftain lovers shade taunts lakes hills,from The Bridge: The Dance,Modern,Nature,"Notes:
Then you shall see her truly--your blood remembering its first invasion of her secrecy, its first encounters with her kind, her chieftain lover...his shade that haunts the lakes and hills",note shall see trulyyour blood remembering first invasion secrecy first encounter kind chieftain lover shade taunt lake hill,4,13
393,450,SARA TEASDALE,dead bright april shakes raindrenched hair lean brokenhearted shall care shall peace leafy trees peaceful rain bends bough shall silent goodhearted,I Shall not Care,Modern,Nature,"When I am dead and over me bright April
Shakes out her rain-drenched hair,
Tho' you should lean above me broken-hearted,
I shall not care.

I shall have peace, as leafy trees are peaceful
When rain bends down the bough,
And I shall be more silent and cold-hearted
Than you are now.",dead bright april shake raindrenched hair lean brokenhearted shall care shall peace leafy tree peaceful rain bend bough shall silent goodhearted,4,13
410,468,MARJORIE PICKTHALL,earth build earth castle towers earth faith earth shall yea though plan reap rye corn lo bond sleep ere born yea though blind earth sows fruit sheaf shall harvest leaf rose dust leaf pride sword power need shall rule root flower fall seed follow flesh splendour tears shall rest clothe afresh fulness years dream dust came dawn set free shall pass flower flame foam sea earth build earth castle towers earth faith earth shall,A Saxon Epitaph,Modern,Nature,"The earth builds on the earth
Castles and towers;
The earth saith of the earth:
All shall be ours.

Yea, though they plan and reap
The rye and the corn,
Lo, they were bond to Sleep
Ere they were born.

Yea, though the blind earth sows
For the fruit and the sheaf,
They shall harvest the leaf of the rose
And the dust of the leaf.

Pride of the sword and power
Are theirs at their need
Who shall rule but the root of the flower
The fall of the seed.

They who follow the flesh
In splendour and tears,
They shall rest and clothe them afresh
In the fulness of years.

From the dream of the dust they came
As the dawn set free.
They shall pass as the flower of the flame
Or the foam of the sea.

The earth builds on the earth
Castles and towers.
The earth saith of the earth:
All shall be ours.",earth build earth castle tower earth faith earth shall yea though plan reap rye corn lo bond sleep ere born yea though blind earth sow fruit sheaf shall harvest leaf rose dust leaf pride sword power need shall rule root flower fall seed follow flesh splendour tear shall rest clothe afresh fulness year dream dust came dawn set free shall pas flower flame foam sea earth build earth castle tower earth faith earth shall,4,13
425,486,CARL SANDBURG,shall foot roadway dusk shapes hunger wander fugitives pain go shall foot silence morning see night slur dawn hear slow great winds arise tall trees flank way shoulder toward sky broken shoulders road shall commemorate ruin regret shall gravel foot shall watch slim birds swift wing go wind ranks thunder drive wild professional rain dust travelled road shall touch hands face,The Road and the End,Modern,Nature,"I shall foot it
Down the roadway in the dusk,
Where shapes of hunger wander
And the fugitives of pain go by.

I shall foot it
In the silence of the morning,
See the night slur into dawn,
Hear the slow great winds arise
Where tall trees flank the way
And shoulder toward the sky.

The broken boulders by the road
Shall not commemorate my ruin.
Regret shall be the gravel under foot.
I shall watch for
Slim birds swift of wing
That go where wind and ranks of thunder
Drive the wild processionals of rain.

The dust of the travelled road
Shall touch my hands and face.",shall foot roadway dusk shape hunger wander fugitive pain go shall foot silence morning see night slur dawn hear slow great wind arise tall tree flank way shoulder toward sky broken shoulder road shall commemorate ruin regret shall gravel foot shall watch slim bird swift wing go wind rank thunder drive wild professional rain dust travelled road shall touch hand face,4,13
